Position Label,Beacon 1,RSS 1,Beacon 2,RSS 2,Beacon 3,RSS 3,Beacon 4,RSS 4,Beacon 5,RSS 5,Beacon 6,RSS 6,Beacon 7,RSS 7,Beacon 8,RSS 8
100,0.22,-0.684,0.12,-0.604,0.6,-0.756,0.2,-0.774,0.209,-0.688,0.14,-0.64,0.15,-0.625,0.1844,-0.6
100,0.22,-0.621,0.12,-0.663,0.6,-0.635,0.2,-0.593,0.209,-0.573,0.14,-0.649,0.15,-0.647,0.1844,-0.679
100,0.22,-0.572,0.12,-0.643,0.6,-0.596,0.2,-0.628,0.209,-0.631,0.14,-0.701,0.15,-0.652,0.1844,-0.701
100,0.22,-0.658,0.12,-0.653,0.6,-0.795,0.2,-0.759,0.209,-0.705,0.14,-0.677,0.15,-0.595,0.1844,-0.626
100,0.22,-0.644,0.12,-0.688,0.6,-0.714,0.2,-0.705,0.209,-0.629,0.14,-0.548,0.15,-0.671,0.1844,-0.625
100,0.22,-0.671,0.12,-0.616,0.6,-0.772,0.2,-0.754,0.209,-0.693,0.14,-0.667,0.15,-0.619,0.1844,-0.616
100,0.22,-0.556,0.12,-0.582,0.6,-0.579,0.2,-0.598,0.209,-0.623,0.14,-0.693,0.15,-0.728,0.1844,-0.728
100,0.22,-0.665,0.12,-0.585,0.6,-0.768,0.2,-0.778,0.209,-0.678,0.14,-0.631,0.15,-0.624,0.1844,-0.603
100,0.22,-0.505,0.12,-0.651,0.6,-0.608,0.2,-0.678,0.209,-0.641,0.14,-0.69,0.15,-0.666,0.1844,-0.708
100,0.22,-0.687,0.12,-0.639,0.6,-0.7,0.2,-0.689,0.209,-0.6,0.14,-0.592,0.15,-0.647,0.1844,-0.618
100,0.22,-0.596,0.12,-0.593,0.6,-0.666,0.2,-0.587,0.209,-0.566,0.14,-0.684,0.15,-0.698,0.1844,-0.691
100,0.22,-0.523,0.12,-0.65,0.6,-0.593,0.2,-0.669,0.209,-0.645,0.14,-0.7,0.15,-0.652,0.1844,-0.689
100,0.22,-0.661,0.12,-0.613,0.6,-0.748,0.2,-0.726,0.209,-0.665,0.14,-0.59,0.15,-0.682,0.1844,-0.568
100,0.22,-0.668,0.12,-0.701,0.6,-0.719,0.2,-0.702,0.209,-0.616,0.14,-0.588,0.15,-0.679,0.1844,-0.623
100,0.22,-0.595,0.12,-0.686,0.6,-0.678,0.2,-0.61,0.209,-0.531,0.14,-0.708,0.15,-0.705,0.1844,-0.669
100,0.22,-0.554,0.12,-0.664,0.6,-0.594,0.2,-0.647,0.209,-0.645,0.14,-0.712,0.15,-0.679,0.1844,-0.683
100,0.22,-0.664,0.12,-0.627,0.6,-0.748,0.2,-0.721,0.209,-0.65,0.14,-0.586,0.15,-0.682,0.1844,-0.581
100,0.22,-0.699,0.12,-0.65,0.6,-0.771,0.2,-0.738,0.209,-0.648,0.14,-0.579,0.15,-0.649,0.1844,-0.59
100,0.22,-0.559,0.12,-0.648,0.6,-0.583,0.2,-0.594,0.209,-0.619,0.14,-0.702,0.15,-0.678,0.1844,-0.697
100,0.22,-0.593,0.12,-0.607,0.6,-0.666,0.2,-0.583,0.209,-0.577,0.14,-0.681,0.15,-0.702,0.1844,-0.692
100,0.22,-0.644,0.12,-0.67,0.6,-0.708,0.2,-0.711,0.209,-0.638,0.14,-0.54,0.15,-0.665,0.1844,-0.622
